,Title,Url
176,Black Tiger Sex Machine x YOOKiE - Snakes,https://www.youtube.com/watch?v=dZ4ulr928m4
177,Kannibalen Radio ft. Michael White - Ep. 130 Hosted by Lektrique,https://www.youtube.com/watch?v=TlGet3LNzKg
178,Black Tiger Sex Machine at Bass Canyon,https://www.youtube.com/watch?v=LhTXe-r-Q1U
179,Lektrique - Black Magic (Full EP),https://www.youtube.com/watch?v=CsKE8XjpR_8
180,Kannibalen Radio ft. Sam Lamar - Ep.129 Hosted by Lektrique,https://www.youtube.com/watch?v=Jacw8cBjvxk
181,Apashe at îleSoniq 2018,https://www.youtube.com/watch?v=0tSMg-Kvva0
182,Black Tiger Sex Machine at Shambhala 2018,https://www.youtube.com/watch?v=_rS_-FcOGhc
183,YOOKiE - Bassquake (feat. Jeff Kush),https://www.youtube.com/watch?v=MYbiQYJq8vo
184,HVDES - Revelations (Full EP),https://www.youtube.com/watch?v=duK47B4cUDk
185,Kannibalen Radio ft. HVDES - Ep.128 Hosted by Lektrique,https://www.youtube.com/watch?v=MII21xLY01E
186,BTSM - Ceremony Tour Teaser (Fall 2018),https://www.youtube.com/watch?v=lqUOyMUT4GI
187,Kedzie - CMNDO (Full EP),https://www.youtube.com/watch?v=wrLekbDk0HU
188,Kannibalen Radio ft. Kompany - Ep.127 Hosted by Lektrique,https://www.youtube.com/watch?v=2XgrLi_2WOc
189,Kai Wachi - Bodied,https://www.youtube.com/watch?v=JqnY-XFrd60
190,Kannibalen Radio ft. KJ Sawka - Ep.126 Hosted by Lektrique,https://www.youtube.com/watch?v=A0TSqRswzD8
191,Kannibalen Radio (Ep.125) [Hosted by Lektrique] + TOP $HELF Guest Mix,https://www.youtube.com/watch?v=0Tz8_6Y-3ow
192,Black Tiger Sex Machine - Asia Tour (Summer 2018),https://www.youtube.com/watch?v=3PmfupOBwcI
193,Kannibalen Radio (Ep.124) [Hosted by Lektrique] + JayKode Guest Mix,https://www.youtube.com/watch?v=X1bjsquAlww
194,Top $helf - Oblivion (Full EP),https://www.youtube.com/watch?v=GFwUE6BeWoM
195,KJ Sawka x Noya - Rising Sun (Drum Remix Video),https://www.youtube.com/watch?v=sZMYhn1FXrk
196,Dabin at EDC Las Vegas 2018 (Full Set),https://www.youtube.com/watch?v=blgMB99t8eY
197,Kannibalen Radio (Ep.123) [Hosted by Lektrique] + Soltan Guest Mix,https://www.youtube.com/watch?v=8-pwnFhkbRo
198,KJ Sawka x Noya - Rising Sun,https://www.youtube.com/watch?v=3RCIGscPuew
199,Lektrique - Mercy ft. The Arcturians,https://www.youtube.com/watch?v=UkiS5sNOpVA
200,BTSM at EDC Las Vegas 2018 (Full Live Show),https://www.youtube.com/watch?v=3pJZb0d-2Po
201,Dabin at EDC Vegas 2018,https://www.youtube.com/watch?v=3wjYdNagUGI
202,Black Tiger Sex Machine at EDC Vegas 2018,https://www.youtube.com/watch?v=O7s7piXG_7U
203,Kannibalen Radio (Ep.122) [Hosted by Lektrique] + BIJOU Guest Mix,https://www.youtube.com/watch?v=NGBs1YHfk38
204,Black Tiger Sex Machine Helmet - Making Of,https://www.youtube.com/watch?v=Nhx20mLNwAY
205,Kannibalen Radio (Ep.121) [Hosted by Lektrique] + Carbin Guest Mix,https://www.youtube.com/watch?v=Oy1aBNTBkzI
206,Kai Wachi - ICHOR (Full EP),https://www.youtube.com/watch?v=5UNsRqtrX_I
207,Black Tiger Sex Machine - Ceremony Tour (Full Recap),https://www.youtube.com/watch?v=jJ8qPgBYgP8
208,Felmax x Sam Lamar - Bad (Feat. Boogie T),https://www.youtube.com/watch?v=UeyRN257u4A
209,Sullivan King - Come One Come All (Full EP),https://www.youtube.com/watch?v=acu3OPlNcHQ
210,Kannibalen Radio (Ep.120) [Hosted by Lektrique] + G-REX Guest Mix,https://www.youtube.com/watch?v=I5VMEiw_H6k
211,Black Tiger Sex Machine - Ceremony Tour (Part 4),https://www.youtube.com/watch?v=AYfKA78dDD0
212,Lektrique x aUtOdiDakT - Shots Fired (Reloaded),https://www.youtube.com/watch?v=lvzp1sH6kCE
213,Kannibalen Radio (Ep.119) [Hosted by Lektrique] + Pegboard Nerds Guest Mix,https://www.youtube.com/watch?v=GbBdFlcQQUo
214,Black Tiger Sex Machine - Ceremony Tour (Part 3),https://www.youtube.com/watch?v=apxaQasduHQ
215,Dabin - Pyres (Full EP mix),https://www.youtube.com/watch?v=2btKgUZSq5o
216,Kannibalen Radio (Ep.118) [Hosted by Lektrique] + Sullivan King Guest Mix,https://www.youtube.com/watch?v=xOh-IkrlffU
217,Black Tiger Sex Machine at Lucky Festival,https://www.youtube.com/watch?v=wW03EPVkb0M
218,Black Tiger Sex Machine at Beyond Wonderland,https://www.youtube.com/watch?v=ysUyGxBh2Og
219,Kannibalen Radio (Ep.117) [Hosted by Lektrique] + MineSweepa Guest Mix,https://www.youtube.com/watch?v=Zdz-KNpdL6w
220,Black Tiger Sex Machine - Zombie ft. Panther (Official Video),https://www.youtube.com/watch?v=BdwwjG2inEg
221,Black Tiger Sex Machine - Ceremony Tour (Part 2),https://www.youtube.com/watch?v=-7cujavWlaE
222,Black Tiger Sex Machine - Zombie (Official Teaser),https://www.youtube.com/watch?v=nu-_ua8UHCo
223,Black Tiger Sex Machine - Ceremony Tour (Part 1),https://www.youtube.com/watch?v=Azlvla6YKUE
224,Kannibalen Radio (Ep.116) [Hosted by Lektrique] + Nukid Guest Mix,https://www.youtube.com/watch?v=avQuoQR1UUo
225,Black Tiger Sex Machine - New Worlds (Full Album),https://www.youtube.com/watch?v=FIVp1Da-vqA
226,Apashe - Requiem EP (Continuous Mix),https://www.youtube.com/watch?v=eB741SdHKuI
227,Apashe - Requiem EP (Official Video),https://www.youtube.com/watch?v=60w3bBBZzu0
228,WIN A BTSM HELMET!,https://www.youtube.com/watch?v=T_KD3KwMx2w
229,Kannibalen Radio (Ep.115) [Hosted by Lektrique] + Oddprophet Guest Mix,https://www.youtube.com/watch?v=mfuh1L739WI
230,Black Tiger Sex Machine x Sullivan King - Madness,https://www.youtube.com/watch?v=fKCQjKnsdPk
231,Kai Wachi - MUD (feat. Macntaj),https://www.youtube.com/watch?v=218IPaGSyY0
232,Kannibalen Radio (Ep.114) [Hosted by Lektrique] + Michael Sparks Guest Mix,https://www.youtube.com/watch?v=J1dltaguzPk
233,Black Tiger Sex Machine - Zombie (feat. Panther),https://www.youtube.com/watch?v=aAXK_sx6d_E
234,Lektrique - Laidback,https://www.youtube.com/watch?v=SgnBHfg7zYE
235,Kannibalen Radio (Ep.113) [Hosted by Lektrique] + Oliverse Guest Mix,https://www.youtube.com/watch?v=xvpnIHzCm6A
236,BTSM Church - NYE 2017 (Official Recap),https://www.youtube.com/watch?v=vbUA3nRyXaQ
237,Kannibalen Radio (Ep.112) [Hosted by Lektrique] + PrototypeRaptor Guest Mix,https://www.youtube.com/watch?v=BpkqS1WTXl0
238,Dabin x Apashe - Lilith (Sullivan King Remix),https://www.youtube.com/watch?v=ljsLlee8UgI
239,Karluv Klub x Holly - Cult,https://www.youtube.com/watch?v=vlBHgZtLCyE
240,Seek N Destroy - Now I'm Here,https://www.youtube.com/watch?v=CxOkWShhVwQ
241,Kannibalen Radio (Ep.111) [Hosted by Lektrique] - 2017 Recap Mix,https://www.youtube.com/watch?v=jxqtMY1Ymbw
242,YOOKiE - Escape,https://www.youtube.com/watch?v=OGYQnGIpq0c
243,Kannibalen & Friends - All I Want For Christmas Is Bass Vol. 2,https://www.youtube.com/watch?v=0KkPPbLwLfk
244,BTSM - Ceremony Tour Teaser,https://www.youtube.com/watch?v=Ryr8FQ01Ams
245,Kannibalen Radio (Ep.110) [Hosted by Lektrique] + Koven Guest Mix,https://www.youtube.com/watch?v=tfibBFrSZ30
246,Black Tiger Sex Machine - Midnight Terror Tour (Full Recap),https://www.youtube.com/watch?v=wLh1yrNnKSs
247,Dabin x Hayley Richman - Ocean Eyes (Billie Eilish cover),https://www.youtube.com/watch?v=p7HVntMc0ss
248,Apashe - Supernova (ft. Dope D.O.D.),https://www.youtube.com/watch?v=6Oedrjg2AS0
249,Lektrique - Turbo / Neon EP,https://www.youtube.com/watch?v=b3s6JS8xXW8
250,Kannibalen Radio (Ep.109) [Hosted by Lektrique] + Reid Speed Guest Mix,https://www.youtube.com/watch?v=FyCapQZoGMg
251,Apashe - Australia Tour 2017 teaser,https://www.youtube.com/watch?v=QtTk3C-IOHk
252,CYBRPNK - MSHPT (feat. Sullivan King),https://www.youtube.com/watch?v=Pr4EIfVwBYs
253,Black Tiger Sex Machine - Midnight Terror Tour (Part 4),https://www.youtube.com/watch?v=t62uAdlcHJI
